/usr/share/fonts/truetype/noto/NotoSansAnatolianHieroglyphs-Regular.ttf	Noto Sans Anatolian Hieroglyphs,Noto Sans AnatoHiero	Regular
/usr/share/fonts/truetype/noto/NotoSansArabic-Bold.ttf	Noto Sans Arabic	Bold
/usr/share/fonts/truetype/noto/NotoSansArabic-Regular.ttf	Noto Sans Arabic	Regular
/usr/share/fonts/truetype/noto/NotoSansArmenian-Bold.ttf	Noto Sans Armenian	Bold
/usr/share/fonts/truetype/noto/NotoSansArmenian-Regular.ttf	Noto Sans Armenian	Regular
/usr/share/fonts/truetype/noto/NotoSansAvestan-Regular.ttf	Noto Sans Avestan	Regular
/usr/share/fonts/truetype/noto/NotoSansBalinese-Bold.ttf	Noto Sans Balinese	Bold
/usr/share/fonts/truetype/noto/NotoSansBalinese-Regular.ttf	Noto Sans Balinese	Regular
/usr/share/fonts/truetype/noto/NotoSansBamum-Bold.ttf	Noto Sans Bamum	Bold
/usr/share/fonts/truetype/noto/NotoSansBamum-Regular.ttf	Noto Sans Bamum	Regular
/usr/share/fonts/truetype/noto/NotoSansBassaVah-Regular.ttf	Noto Sans Bassa Vah	Regular
/usr/share/fonts/truetype/noto/NotoSansBatak-Regular.ttf	Noto Sans Batak	Regular
/usr/share/fonts/truetype/noto/NotoSansBengali-Bold.ttf	Noto Sans Bengali	Bold
/usr/share/fonts/truetype/noto/NotoSansBengali-Regular.ttf	Noto Sans Bengali	Regular
/usr/share/fonts/truetype/noto/NotoSansBhaiksuki-Regular.ttf	Noto Sans Bhaiksuki	Regular
/usr/share/fonts/truetype/noto/NotoSansBrahmi-Regular.ttf	Noto Sans Brahmi	Regular
/usr/share/fonts/truetype/noto/NotoSansBuginese-Regular.ttf	Noto Sans Buginese	Regular
/usr/share/fonts/truetype/noto/NotoSansBuhid-Regular.ttf	Noto Sans Buhid	Regular
/usr/share/fonts/truetype/noto/NotoSansCanadianAboriginal-Bold.ttf	Noto Sans Canadian Aboriginal,Noto Sans CanAborig	Bold
/usr/share/fonts/truetype/noto/NotoSansCanadianAboriginal-Regular.ttf	Noto Sans Canadian Aboriginal,Noto Sans CanAborig	Regular
/usr/share/fonts/truetype/noto/NotoSansCarian-Regular.ttf	Noto Sans Carian	Regular
/usr/share/fonts/truetype/noto/NotoSansCaucasianAlbanian-Regular.ttf	Noto Sans Caucasian Albanian,Noto Sans CaucAlban	Regular
/usr/share/fonts/truetype/noto/NotoSansChakma-Regular.ttf	Noto Sans Chakma	Regular
/usr/share/fonts/truetype/noto/NotoSansCham-Bold.ttf	Noto Sans Cham	Bold
/usr/share/fonts/truetype/noto/NotoSansCham-Regular.ttf	Noto Sans Cham	Regular
/usr/share/fonts/truetype/noto/NotoSansCherokee-Bold.ttf	Noto Sans Cherokee	Bold
/usr/share/fonts/truetype/noto/NotoSansCherokee-Regular.ttf	Noto Sans Cherokee	Regular
/usr/share/fonts/truetype/noto/NotoSansCoptic-Regular.ttf	Noto Sans Coptic	Regular
/usr/share/fonts/truetype/noto/NotoSansCuneiform-Regular.ttf	Noto Sans Cuneiform	Regular
/usr/share/fonts/truetype/noto/NotoSansCypriot-Regular.ttf	Noto Sans Cypriot	Regular
/usr/share/fonts/truetype/noto/NotoSansDeseret-Regular.ttf	Noto Sans Deseret	Regular
/usr/share/fonts/truetype/noto/NotoSansDevanagari-Bold.ttf	Noto Sans Devanagari	Bold
/usr/share/fonts/truetype/noto/NotoSansDevanagari-Regular.ttf	Noto Sans Devanagari	Regular
/usr/share/fonts/truetype/noto/NotoSansDisplay-Bold.ttf	Noto Sans Display	Bold
/usr/share/fonts/truetype/noto/NotoSansDisplay-BoldItalic.ttf	Noto Sans Display	Bold Italic
/usr/share/fonts/truetype/noto/NotoSansDisplay-Italic.ttf	Noto Sans Display	Italic
/usr/share/fonts/truetype/noto/NotoSansDisplay-Regular.ttf	Noto Sans Display	Regular
/usr/share/fonts/truetype/noto/NotoSansDuployan-Regular.ttf	Noto Sans Duployan	Regular
/usr/share/fonts/truetype/noto/NotoSansEgyptianHieroglyphs-Regular.ttf	Noto Sans Egyptian Hieroglyphs,Noto Sans EgyptHiero	Regular
/usr/share/fonts/truetype/noto/NotoSansElbasan-Regular.ttf	Noto Sans Elbasan	Regular
/usr/share/fonts/truetype/noto/NotoSansElymaic-Regular.ttf	Noto Sans Elymaic	Regular
/usr/share/fonts/truetype/noto/NotoSansEthiopic-Bold.ttf	Noto Sans Ethiopic	Bold
/usr/share/fonts/truetype/noto/NotoSansEthiopic-Regular.ttf	Noto Sans Ethiopic	Regular
/usr/share/fonts/truetype/noto/NotoSansGeorgian-Bold.ttf	Noto Sans Georgian	Bold
/usr/share/fonts/truetype/noto/NotoSansGeorgian-Regular.ttf	Noto Sans Georgian	Regular
/usr/share/fonts/truetype/noto/NotoSansGlagolitic-Regular.ttf	Noto Sans Glagolitic	Regular
/usr/share/fonts/truetype/noto/NotoSansGothic-Regular.ttf	Noto Sans Gothic	Regular
/usr/share/fonts/truetype/noto/NotoSansGrantha-Regular.ttf	Noto Sans Grantha	Regular
/usr/share/fonts/truetype/noto/NotoSansGujarati-Bold.ttf	Noto Sans Gujarati	Bold
/usr/share/fonts/truetype/noto/NotoSansGujarati-Regular.ttf	Noto Sans Gujarati	Regular
/usr/share/fonts/truetype/noto/NotoSansGunjalaGondi-Regular.ttf	Noto Sans Gunjala Gondi	Regular
/usr/share/fonts/truetype/noto/NotoSansGurmukhi-Bold.ttf	Noto Sans Gurmukhi	Bold
/usr/share/fonts/truetype/noto/NotoSansGurmukhi-Regular.ttf	Noto Sans Gurmukhi	Regular
/usr/share/fonts/truetype/noto/NotoSansHanifiRohingya-Bold.ttf	Noto Sans Hanifi Rohingya	Bold
/usr/share/fonts/truetype/noto/NotoSansHanifiRohingya-Regular.ttf	Noto Sans Hanifi Rohingya	Regular
/usr/share/fonts/truetype/noto/NotoSansHanunoo-Regular.ttf	Noto Sans Hanunoo	Regular
/usr/share/fonts/truetype/noto/NotoSansHatran-Regular.ttf	Noto Sans Hatran	Regular
/usr/share/fonts/truetype/noto/NotoSansHebrew-Bold.ttf	Noto Sans Hebrew	Bold
/usr/share/fonts/truetype/noto/NotoSansHebrew-Regular.ttf	Noto Sans Hebrew	Regular
/usr/share/fonts/truetype/noto/NotoSansImperialAramaic-Regular.ttf	Noto Sans Imperial Aramaic,Noto Sans ImpAramaic	Regular
/usr/share/fonts/truetype/noto/NotoSansIndicSiyaqNumbers-Regular.ttf	Noto Sans Indic Siyaq Numbers	Regular
/usr/share/fonts/truetype/noto/NotoSansInscriptionalPahlavi-Regular.ttf	Noto Sans Inscriptional Pahlavi,Noto Sans InsPahlavi	Regular
/usr/share/fonts/truetype/noto/NotoSansInscriptionalParthian-Regular.ttf	Noto Sans Inscriptional Parthian,Noto Sans InsParthi	Regular
/usr/share/fonts/truetype/noto/NotoSansJavanese-Bold.ttf	Noto Sans Javanese	Bold
/usr/share/fonts/truetype/noto/NotoSansJavanese-Regular.ttf	Noto Sans Javanese	Regular
/usr/share/fonts/truetype/noto/NotoSansKaithi-Regular.ttf	Noto Sans Kaithi	Regular
/usr/share/fonts/truetype/noto/NotoSansKannada-Bold.ttf	Noto Sans Kannada	Bold
/usr/share/fonts/truetype/noto/NotoSansKannada-Regular.ttf	Noto Sans Kannada	Regular
/usr/share/fonts/truetype/noto/NotoSansKayahLi-Bold.ttf	Noto Sans Kayah Li	Bold
/usr/share/fonts/truetype/noto/NotoSansKayahLi-Regular.ttf	Noto Sans Kayah Li	Regular
/usr/share/fonts/truetype/noto/NotoSansKharoshthi-Regular.ttf	Noto Sans Kharoshthi	Regular
/usr/share/fonts/truetype/noto/NotoSansKhmer-Bold.ttf	Noto Sans Khmer	Bold
/usr/share/fonts/truetype/noto/NotoSansKhmer-Regular.ttf	Noto Sans Khmer	Regular
/usr/share/fonts/truetype/noto/NotoSansKhojki-Regular.ttf	Noto Sans Khojki	Regular
/usr/share/fonts/truetype/noto/NotoSansKhudawadi-Regular.ttf	Noto Sans Khudawadi	Regular
/usr/share/fonts/truetype/noto/NotoSansLao-Bold.ttf	Noto Sans Lao	Bold
/usr/share/fonts/truetype/noto/NotoSansLao-Regular.ttf	Noto Sans Lao	Regular
/usr/share/fonts/truetype/noto/NotoSansLepcha-Regular.ttf	Noto Sans Lepcha	Regular
/usr/share/fonts/truetype/noto/NotoSansLimbu-Regular.ttf	Noto Sans Limbu	Regular
/usr/share/fonts/truetype/noto/NotoSansLinearA-Regular.ttf	Noto Sans Linear A	Regular
/usr/share/fonts/truetype/noto/NotoSansLinearB-Regular.ttf	Noto Sans Linear B	Regular
/usr/share/fonts/truetype/noto/NotoSansLisu-Bold.ttf	Noto Sans Lisu	Bold
/usr/share/fonts/truetype/noto/NotoSansLisu-Regular.ttf	Noto Sans Lisu	Regular
/usr/share/fonts/truetype/noto/NotoSansLycian-Regular.ttf	Noto Sans Lycian	Regular
/usr/share/fonts/truetype/noto/NotoSansLydian-Regular.ttf	Noto Sans Lydian	Regular
/usr/share/fonts/truetype/noto/NotoSansMahajani-Regular.ttf	Noto Sans Mahajani	Regular
/usr/share/fonts/truetype/noto/NotoSansMalayalam-Bold.ttf	Noto Sans Malayalam	Bold
/usr/share/fonts/truetype/noto/NotoSansMalayalam-Regular.ttf	Noto Sans Malayalam	Regular
/usr/share/fonts/truetype/noto/NotoSansMandaic-Regular.ttf	Noto Sans Mandaic	Regular
/usr/share/fonts/truetype/noto/NotoSansManichaean-Regular.ttf	Noto Sans Manichaean	Regular
/usr/share/fonts/truetype/noto/NotoSansMarchen-Regular.ttf	Noto Sans Marchen	Regular
/usr/share/fonts/truetype/noto/NotoSansMasaramGondi-Regular.ttf	Noto Sans Masaram Gondi	Regular
/usr/share/fonts/truetype/noto/NotoSansMath-Regular.ttf	Noto Sans Math	Regular
/usr/share/fonts/truetype/noto/NotoSansMayanNumerals-Regular.ttf	Noto Sans Mayan Numerals	Regular
/usr/share/fonts/truetype/noto/NotoSansMedefaidrin-Bold.ttf	Noto Sans Medefaidrin	Bold
/usr/share/fonts/truetype/noto/NotoSansMedefaidrin-Regular.ttf	Noto Sans Medefaidrin	Regular
/usr/share/fonts/truetype/noto/NotoSansMeeteiMayek-Bold.ttf	Noto Sans Meetei Mayek	Bold
/usr/share/fonts/truetype/noto/NotoSansMeeteiMayek-Regular.ttf	Noto Sans Meetei Mayek	Regular
/usr/share/fonts/truetype/noto/NotoSansMendeKikakui-Regular.ttf	Noto Sans Mende Kikakui	Regular
/usr/share/fonts/truetype/noto/NotoSansMeroitic-Regular.ttf	Noto Sans Meroitic	Regular
/usr/share/fonts/truetype/noto/NotoSansMiao-Regular.ttf	Noto Sans Miao	Regular
/usr/share/fonts/truetype/noto/NotoSansModi-Regular.ttf	Noto Sans Modi	Regular
/usr/share/fonts/truetype/noto/NotoSansMongolian-Regular.ttf	Noto Sans Mongolian	Regular
/usr/share/fonts/truetype/noto/NotoSansMono-Bold.ttf	Noto Sans Mono	Bold
/usr/share/fonts/truetype/noto/NotoSansMono-Regular.ttf	Noto Sans Mono	Regular
/usr/share/fonts/truetype/noto/NotoSansMro-Regular.ttf	Noto Sans Mro	Regular
/usr/share/fonts/truetype/noto/NotoSansMultani-Regular.ttf	Noto Sans Multani	Regular
/usr/share/fonts/truetype/noto/NotoSansMyanmar-Bold.ttf	Noto Sans Myanmar	Bold
/usr/share/fonts/truetype/noto/NotoSansMyanmar-Regular.ttf	Noto Sans Myanmar	Regular
/usr/share/fonts/truetype/noto/NotoSansNKo-Regular.ttf	Noto Sans NKo	Regular
/usr/share/fonts/truetype/noto/NotoSansNabataean-Regular.ttf	Noto Sans Nabataean	Regular
/usr/share/fonts/truetype/noto/NotoSansNewTaiLue-Regular.ttf	Noto Sans New Tai Lue	Regular
/usr/share/fonts/truetype/noto/NotoSansNewa-Regular.ttf	Noto Sans Newa	Regular
/usr/share/fonts/truetype/noto/NotoSansNushu-Regular.ttf	Noto Sans Nushu	Regular
/usr/share/fonts/truetype/noto/NotoSansOgham-Regular.ttf	Noto Sans Ogham	Regular
/usr/share/fonts/truetype/noto/NotoSansOlChiki-Bold.ttf	Noto Sans Ol Chiki	Bold
/usr/share/fonts/truetype/noto/NotoSansOlChiki-Regular.ttf	Noto Sans Ol Chiki	Regular
/usr/share/fonts/truetype/noto/NotoSansOldHungarian-Regular.ttf	Noto Sans Old Hungarian,Noto Sans OldHung	Regular
/usr/share/fonts/truetype/noto/NotoSansOldItalic-Regular.ttf	Noto Sans Old Italic	Regular
/usr/share/fonts/truetype/noto/NotoSansOldNorthArabian-Regular.ttf	Noto Sans Old North Arabian,Noto Sans OldNorArab	Regular
/usr/share/fonts/truetype/noto/NotoSansOldPermic-Regular.ttf	Noto Sans Old Permic	Regular
/usr/share/fonts/truetype/noto/NotoSansOldPersian-Regular.ttf	Noto Sans Old Persian	Regular
/usr/share/fonts/truetype/noto/NotoSansOldSogdian-Regular.ttf	Noto Sans Old Sogdian	Regular
/usr/share/fonts/truetype/noto/NotoSansOldSouthArabian-Regular.ttf	Noto Sans Old South Arabian,Noto Sans OldSouArab	Regular
/usr/share/fonts/truetype/noto/NotoSansOldTurkic-Regular.ttf	Noto Sans Old Turkic	Regular
/usr/share/fonts/truetype/noto/NotoSansOriya-Bold.ttf	Noto Sans Oriya	Bold
/usr/share/fonts/truetype/noto/NotoSansOriya-Regular.ttf	Noto Sans Oriya	Regular
/usr/share/fonts/truetype/noto/NotoSansOsage-Regular.ttf	Noto Sans Osage	Regular
/usr/share/fonts/truetype/noto/NotoSansOsmanya-Regular.ttf	Noto Sans Osmanya	Regular
/usr/share/fonts/truetype/noto/NotoSansPahawhHmong-Regular.ttf	Noto Sans Pahawh Hmong	Regular
/usr/share/fonts/truetype/noto/NotoSansPalmyrene-Regular.ttf	Noto Sans Palmyrene	Regular
/usr/share/fonts/truetype/noto/NotoSansPauCinHau-Regular.ttf	Noto Sans Pau Cin Hau	Regular
/usr/share/fonts/truetype/noto/NotoSansPhagsPa-Regular.ttf	Noto Sans PhagsPa	Regular
/usr/share/fonts/truetype/noto/NotoSansPhoenician-Regular.ttf	Noto Sans Phoenician	Regular
/usr/share/fonts/truetype/noto/NotoSansPsalterPahlavi-Regular.ttf	Noto Sans Psalter Pahlavi,Noto Sans PsaPahlavi	Regular
/usr/share/fonts/truetype/noto/NotoSansRejang-Regular.ttf	Noto Sans Rejang	Regular
/usr/share/fonts/truetype/noto/NotoSansRunic-Regular.ttf	Noto Sans Runic	Regular
/usr/share/fonts/truetype/noto/NotoSansSamaritan-Regular.ttf	Noto Sans Samaritan	Regular
/usr/share/fonts/truetype/noto/NotoSansSaurashtra-Regular.ttf	Noto Sans Saurashtra	Regular
/usr/share/fonts/truetype/noto/NotoSansSharada-Regular.ttf	Noto Sans Sharada	Regular
/usr/share/fonts/truetype/noto/NotoSansShavian-Regular.ttf	Noto Sans Shavian	Regular
/usr/share/fonts/truetype/noto/NotoSansSiddham-Regular.ttf	Noto Sans Siddham	Regular
/usr/share/fonts/truetype/noto/NotoSansSignWriting-Regular.ttf	Noto Sans SignWriting,Noto Sans SignWrit	Regular
/usr/share/fonts/truetype/noto/NotoSansSinhala-Bold.ttf	Noto Sans Sinhala	Bold
/usr/share/fonts/truetype/noto/NotoSansSinhala-Regular.ttf	Noto Sans Sinhala	Regular
/usr/share/fonts/truetype/noto/NotoSansSogdian-Regular.ttf	Noto Sans Sogdian	Regular
/usr/share/fonts/truetype/noto/NotoSansSoraSompeng-Bold.ttf	Noto Sans Sora Sompeng	Bold
/usr/share/fonts/truetype/noto/NotoSansSoraSompeng-Regular.ttf	Noto Sans Sora Sompeng	Regular
/usr/share/fonts/truetype/noto/NotoSansSoyombo-Regular.ttf	Noto Sans Soyombo	Regular
/usr/share/fonts/truetype/noto/NotoSansSundanese-Bold.ttf	Noto Sans Sundanese	Bold
/usr/share/fonts/truetype/noto/NotoSansSundanese-Regular.ttf	Noto Sans Sundanese	Regular
/usr/share/fonts/truetype/noto/NotoSansSylotiNagri-Regular.ttf	Noto Sans Syloti Nagri	Regular
/usr/share/fonts/truetype/noto/NotoSansSymbols-Bold.ttf	Noto Sans Symbols	Bold
/usr/share/fonts/truetype/noto/NotoSansSymbols-Regular.ttf	Noto Sans Symbols	Regular
/usr/share/fonts/truetype/noto/NotoSansSymbols2-Regular.ttf	Noto Sans Symbols2	Regular
/usr/share/fonts/truetype/noto/NotoSansSyriac-Regular.ttf	Noto Sans Syriac	Regular
/usr/share/fonts/truetype/noto/NotoSansTagalog-Regular.ttf	Noto Sans Tagalog	Regular
/usr/share/fonts/truetype/noto/NotoSansTagbanwa-Regular.ttf	Noto Sans Tagbanwa	Regular
/usr/share/fonts/truetype/noto/NotoSansTaiLe-Regular.ttf	Noto Sans Tai Le	Regular
/usr/share/fonts/truetype/noto/NotoSansTaiTham-Bold.ttf	Noto Sans Tai Tham	Bold
/usr/share/fonts/truetype/noto/NotoSansTaiTham-Regular.ttf	Noto Sans Tai Tham	Regular
/usr/share/fonts/truetype/noto/NotoSansTaiViet-Regular.ttf	Noto Sans Tai Viet	Regular
/usr/share/fonts/truetype/noto/NotoSansTakri-Regular.ttf	Noto Sans Takri	Regular
/usr/share/fonts/truetype/noto/NotoSansTamil-Bold.ttf	Noto Sans Tamil	Bold
/usr/share/fonts/truetype/noto/NotoSansTamil-Regular.ttf	Noto Sans Tamil	Regular
/usr/share/fonts/truetype/noto/NotoSansTamilSupplement-Regular.ttf	Noto Sans Tamil Supplement	Regular
